OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
6.9,5827600.0,7.0,"Aug 03, 2009 00:00:00",7.0,6.9
7.1,11050300.0,7.1,"Aug 04, 2009 00:00:00",7.3,7.1
7.0,2706000.0,6.9,"Aug 06, 2009 00:00:00",7.0,6.9
6.8,1372800.0,6.8,"Aug 07, 2009 00:00:00",6.9,6.8
6.9,2801900.0,6.9,"Aug 10, 2009 00:00:00",7.0,6.9
6.8,1814400.0,6.8,"Aug 11, 2009 00:00:00",6.8,6.7
6.7,1263500.0,6.8,"Aug 12, 2009 00:00:00",6.8,6.7
6.9,36939400.0,7.6,"Aug 13, 2009 00:00:00",7.6,6.9
7.6,15650400.0,7.4,"Aug 14, 2009 00:00:00",7.8,7.3
7.2,151200.0,7.2,"Aug 17, 2009 00:00:00",7.2,7.2
7.1,3227800.0,7.1,"Aug 18, 2009 00:00:00",7.1,6.9
7.2,9448200.0,7.4,"Aug 19, 2009 00:00:00",7.5,7.2
7.5,1913300.0,7.3,"Aug 20, 2009 00:00:00",7.5,7.3
7.4,10566500.0,7.5,"Aug 24, 2009 00:00:00",7.5,7.4
7.5,4732000.0,7.5,"Aug 25, 2009 00:00:00",7.5,7.4
7.5,4035000.0,7.5,"Aug 26, 2009 00:00:00",7.5,7.5
7.3,1846700.0,7.7,"Sep 03, 2009 00:00:00",7.7,7.3
7.8,27191700.0,8.3,"Sep 04, 2009 00:00:00",8.5,7.8
8.5,7484800.0,8.5,"Sep 16, 2009 00:00:00",8.5,8.3
8.4,5936900.0,8.5,"Sep 17, 2009 00:00:00",8.5,8.4
8.4,3841500.0,8.5,"Sep 18, 2009 00:00:00",8.5,8.4
8.2,24169600.0,8.2,"Sep 22, 2009 00:00:00",8.3,8.2
8.2,1416500.0,8.5,"Sep 23, 2009 00:00:00",8.5,8.2
8.2,7157500.0,8.4,"Sep 30, 2009 00:00:00",8.4,8.2
8.3,13544700.0,8.5,"Oct 01, 2009 00:00:00",8.5,8.3
8.1,2114200.0,8.4,"Oct 02, 2009 00:00:00",8.4,8.1
8.2,6352400.0,8.4,"Oct 05, 2009 00:00:00",8.4,8.2
8.2,3452300.0,8.3,"Oct 06, 2009 00:00:00",8.3,8.2
8.3,1494000.0,8.3,"Oct 07, 2009 00:00:00",8.3,8.3
8.3,149500.0,8.4,"Oct 08, 2009 00:00:00",8.4,8.3
8.4,1873200.0,8.4,"Oct 09, 2009 00:00:00",8.4,8.4
8.5,16900.0,8.4,"Oct 12, 2009 00:00:00",8.5,8.4
8.3,1336300.0,8.3,"Oct 13, 2009 00:00:00",8.3,8.3
8.3,7710800.0,8.4,"Oct 14, 2009 00:00:00",8.4,8.3
8.3,25032800.0,8.3,"Oct 15, 2009 00:00:00",8.3,8.3
8.3,19748100.0,8.4,"Oct 16, 2009 00:00:00",8.4,8.3
8.4,1943900.0,8.3,"Oct 19, 2009 00:00:00",8.4,8.3
8.3,2680900.0,8.3,"Oct 20, 2009 00:00:00",8.3,8.3
8.3,5773800.0,8.3,"Oct 21, 2009 00:00:00",8.3,8.2
8.2,1172600.0,8.2,"Oct 22, 2009 00:00:00",8.2,8.2
8.1,12375900.0,8.1,"Oct 23, 2009 00:00:00",8.2,8.0
8.1,7779500.0,8.0,"Oct 26, 2009 00:00:00",8.1,8.0
8.0,1860500.0,8.1,"Oct 27, 2009 00:00:00",8.1,7.9
8.0,21860300.0,8.0,"Oct 28, 2009 00:00:00",8.0,7.9
7.8,7245500.0,7.7,"Oct 29, 2009 00:00:00",7.8,7.7
7.9,18107200.0,7.8,"Oct 30, 2009 00:00:00",7.9,7.7
7.7,4042500.0,7.7,"Nov 03, 2009 00:00:00",7.7,7.7
7.7,254100.0,7.7,"Nov 04, 2009 00:00:00",7.7,7.7
7.7,800800.0,7.7,"Nov 05, 2009 00:00:00",7.7,7.7
7.7,818700.0,7.8,"Nov 06, 2009 00:00:00",7.8,7.7
7.7,1442300.0,7.7,"Nov 09, 2009 00:00:00",7.8,7.7
7.7,21260200.0,7.8,"Nov 10, 2009 00:00:00",7.8,7.7
7.7,23392700.0,7.7,"Nov 11, 2009 00:00:00",7.8,7.7
7.8,8393500.0,7.8,"Dec 16, 2009 00:00:00",7.8,7.7
7.7,13282900.0,7.8,"Dec 17, 2009 00:00:00",7.8,7.7
7.8,998400.0,7.8,"Dec 21, 2009 00:00:00",7.8,7.8
7.7,43808500.0,7.7,"Dec 22, 2009 00:00:00",7.7,7.6
7.7,44313500.0,7.7,"Dec 23, 2009 00:00:00",7.7,7.7
7.6,10289500.0,8.1,"Dec 29, 2009 00:00:00",8.1,7.6
7.9,724800.0,7.8,"Jan 04, 2010 00:00:00",7.9,7.7
7.7,2733500.0,7.7,"Jan 05, 2010 00:00:00",7.7,7.7
7.7,14326100.0,7.7,"Jan 06, 2010 00:00:00",7.7,7.6
7.6,1284300.0,7.5,"Jan 07, 2010 00:00:00",7.6,7.5
7.6,81833300.0,7.5,"Jan 08, 2010 00:00:00",7.6,7.5
7.6,3240000.0,7.6,"Jan 11, 2010 00:00:00",7.7,7.6
7.6,8086500.0,7.6,"Jan 12, 2010 00:00:00",7.7,7.6
7.7,4420700.0,7.7,"Jan 13, 2010 00:00:00",7.7,7.6
7.6,10079300.0,7.6,"Jan 14, 2010 00:00:00",7.6,7.4
7.6,6408800.0,7.6,"Jan 15, 2010 00:00:00",7.7,7.6
7.5,2527500.0,7.5,"Jan 18, 2010 00:00:00",7.5,7.5
7.5,1177500.0,7.5,"Jan 19, 2010 00:00:00",7.5,7.5
7.5,9090000.0,7.5,"Jan 20, 2010 00:00:00",7.5,7.5
7.5,1755000.0,7.5,"Jan 21, 2010 00:00:00",7.5,7.5
7.5,91222500.0,7.5,"Jan 22, 2010 00:00:00",7.5,7.5
7.4,8606200.0,7.4,"Jan 25, 2010 00:00:00",7.4,7.4
7.4,15741300.0,7.1,"Jan 26, 2010 00:00:00",7.4,7.1
7.1,2401600.0,7.0,"Jan 27, 2010 00:00:00",7.1,7.0
7.0,6297200.0,7.4,"Jan 28, 2010 00:00:00",7.4,7.0
7.3,6884900.0,7.3,"Jan 29, 2010 00:00:00",7.4,7.3
7.2,2272900.0,7.3,"Feb 01, 2010 00:00:00",7.3,7.1
7.3,1706000.0,7.1,"Feb 02, 2010 00:00:00",7.3,7.1
7.1,16299300.0,7.0,"Feb 03, 2010 00:00:00",7.1,7.0
7.0,5775000.0,7.0,"Feb 04, 2010 00:00:00",7.0,7.0
6.9,4126200.0,7.1,"Feb 05, 2010 00:00:00",7.1,6.9
7.0,479200.0,7.1,"Feb 08, 2010 00:00:00",7.1,7.0
6.9,572700.0,6.9,"Feb 09, 2010 00:00:00",6.9,6.9
6.9,6759200.0,7.1,"Feb 10, 2010 00:00:00",7.1,6.9
